Branch,npmrc,ROADMAP,gitVersionControl,review,security_helpers
alert-autofix-5671,NO,YES,NO,NO,NO
alert-fix-1715,NO,NO,NO,NO,NO
alert-fix-2305,NO,NO,NO,NO,NO
alert-fix-2324,NO,NO,NO,NO,NO
claude/accessibility-audit-baseline-USu5N,YES,YES,YES,YES,YES
claude/accessibility-audit-wcag-wOLML,NO,NO,NO,NO,NO
claude/add-analytics-tests-L5KyM,NO,NO,NO,NO,NO
claude/add-analytics-tests-uFBpl-15472485915422703271,NO,NO,NO,NO,NO
claude/add-claude-documentation-QxLA4,YES,YES,YES,YES,YES
claude/add-claude-documentation-TYNqv,YES,YES,YES,YES,YES
claude/add-constants-tests-OnNXg,NO,NO,NO,NO,NO
claude/add-doc-sections-1EhnP,YES,YES,YES,YES,YES
claude/add-duotone-illustrations-x4GKk,NO,NO,NO,NO,NO
claude/add-eslint-config-ZCKYQ,YES,YES,YES,YES,YES
claude/analyze-pr-deleted-files-QBlYv,YES,YES,YES,YES,YES
claude/analyze-test-coverage-9JQZb,YES,YES,YES,YES,YES
claude/apply-code-fixes-BUsgx,YES,YES,YES,YES,YES
claude/claude-md-mi99o181rvyluac7-01GBap4tmQKY2HHePk1jxVXy,NO,NO,NO,NO,NO
claude/core-editor-phase-1-PI3Yp,NO,YES,NO,NO,NO
claude/create-audit-issues-S4QtL,NO,NO,NO,NO,NO
claude/daily-pr-review-2026-03-25-16003728981745369675,YES,YES,YES,YES,YES
claude/daily-pr-review-2026-03-26-16003728981745369675-427534641767457171,YES,YES,YES,YES,YES
claude/enhance-mobile-responsiveness-GCMC6,YES,YES,YES,YES,YES
claude/eslint-10-upgrade-issue-Bg8XP,YES,YES,YES,YES,YES
claude/eslint-v9-to-v10-upgrade-EYLU6,YES,YES,YES,YES,YES
claude/fix-bash-conditionals-Zlz46,YES,YES,YES,YES,YES
claude/fix-ci-workflow-permissions-emVdO,YES,YES,YES,YES,YES
claude/fix-codacy-issues-bp3bR,YES,YES,YES,YES,YES
claude/fix-codacy-sarif-limit-4I0x5,YES,YES,YES,YES,YES
claude/fix-codacy-warnings-QTZ9S,YES,YES,YES,YES,YES
claude/fix-code-style-cWDI4,YES,YES,YES,YES,YES
claude/fix-codebase-review-issues-kjZsN,YES,YES,YES,YES,YES
claude/fix-component-tests-pq68t,NO,NO,NO,NO,NO
claude/fix-coverage-requirements-QtFtS,YES,YES,YES,YES,YES
claude/fix-debug-logging-tests-G10GL,YES,YES,YES,YES,YES
claude/fix-deployment-failure-lpxjb,YES,YES,YES,YES,YES
claude/fix-eslint-docker-error-zPw7G,YES,YES,YES,YES,YES
claude/fix-eslint-workflow-xWVbe,YES,YES,YES,YES,YES
claude/fix-failing-tests-J1VZ6,YES,YES,YES,YES,YES
claude/fix-footer-accessibility-tests-UTTCF,NO,NO,NO,NO,NO
claude/fix-icon-selectors-X35Bu,NO,NO,NO,NO,NO
claude/fix-issue-192-zaEVH,NO,NO,NO,NO,NO
claude/fix-issue-243-OkdVQ,NO,NO,NO,NO,NO
claude/fix-issue-274-F2eKP,NO,NO,NO,NO,NO
claude/fix-issue-577-v60JV,YES,YES,YES,YES,YES
claude/fix-issue-661-7gozH,YES,YES,YES,YES,YES
claude/fix-lighthouse-ci-P9FYE,YES,YES,YES,YES,YES
claude/fix-lighthouse-failure-b5S6v,YES,YES,YES,YES,YES
claude/fix-npm-vulnerabilities-tkCap,NO,NO,NO,NO,NO
claude/fix-npm-vulnerabilities-wyGfa,YES,YES,YES,YES,YES
claude/fix-open-redirect-TX551,YES,YES,YES,YES,YES
claude/fix-peer-dependency-conflicts-Wj2iC,YES,YES,YES,YES,YES
claude/fix-sarif-run-limit-Sqg3v,NO,NO,NO,NO,NO
claude/fix-shell-injection-workflow-oX0sB,NO,NO,NO,NO,NO
claude/fix-workflow-e2e-tests-xHhZw,YES,YES,YES,YES,YES
claude/fix-workflow-permissions-dnoLR,YES,YES,YES,YES,YES
claude/implement-todo-2vcWQ,YES,YES,YES,YES,YES
claude/implement-todo-item-2H9LP,NO,NO,NO,NO,NO
claude/implement-todo-item-cDEVt,YES,YES,YES,YES,YES
claude/issue-184-8mfSq,NO,NO,NO,NO,NO
claude/issue-230-paperlyte-StkbW,YES,YES,YES,YES,YES
claude/mvp-landing-page-6csSA,YES,YES,YES,YES,YES
claude/recreate-paperlyte-ui-011V7rcoZYdnsQBn3JkDbQWP,NO,NO,NO,NO,NO
claude/relax-lighthouse-thresholds-DLVoz,YES,YES,YES,YES,YES
claude/resolve-merge-conflicts-G8pSa,NO,NO,NO,NO,NO
claude/resolve-merge-conflicts-KzQIj,NO,NO,NO,NO,NO
claude/review-close-issues-FZziy,NO,NO,NO,NO,NO
claude/review-roadmap-tasks-FF6Bj,NO,YES,NO,NO,NO
claude/setup-analytics-test-helpers-PwW8u,NO,NO,NO,NO,NO
claude/setup-routing-legal-pages-FITCE,NO,NO,NO,NO,NO
claude/setup-sonarcloud-HM572,YES,YES,YES,YES,YES
claude/tree-shake-font-awesome-cK85j,YES,YES,YES,YES,YES
coderabbitai/utg/7c8d2b6,YES,YES,YES,YES,YES
copilot/configure-claude-code-action,NO,NO,NO,NO,NO
copilot/fix-branch-protection-sanitization,NO,NO,NO,NO,NO
copilot/fix-eslint-configuration-error,NO,NO,NO,NO,NO
copilot/fix-icon-component-errors,NO,NO,NO,NO,NO
copilot/fix-input-validation-issues,NO,NO,NO,NO,NO
copilot/fix-invalid-coverage-yaml,NO,NO,NO,NO,NO
copilot/fix-issues-in-paperlyte-v2,NO,NO,NO,NO,NO
copilot/fix-missing-semicolons,NO,NO,NO,NO,NO
copilot/fix-missing-semicolons-again,NO,NO,NO,NO,NO
copilot/fix-security-error-url,YES,YES,YES,YES,NO
copilot/fix-sitemap-injection-issue,NO,NO,NO,NO,NO
copilot/improve-slow-code-performance,YES,YES,YES,YES,YES
copilot/improve-variable-function-naming,YES,YES,YES,YES,YES
copilot/refactor-hero-test-and-add-faq-timer-test,YES,YES,YES,YES,YES
copilot/resolve-security-alerts,NO,NO,NO,NO,NO
copilot/sub-pr-107,NO,NO,NO,NO,NO
copilot/sub-pr-107-yet-again,NO,NO,NO,NO,NO
copilot/sub-pr-113,NO,NO,NO,NO,NO
copilot/sub-pr-113-another-one,NO,NO,NO,NO,NO
copilot/sub-pr-163,NO,NO,NO,NO,NO
copilot/sub-pr-182,NO,NO,NO,NO,NO
copilot/sub-pr-182-again,NO,NO,NO,NO,NO
copilot/sub-pr-191,NO,NO,NO,NO,NO
copilot/sub-pr-191-again,NO,NO,NO,NO,NO
copilot/sub-pr-204,NO,NO,NO,NO,NO
copilot/sub-pr-241,NO,NO,NO,NO,NO
copilot/sub-pr-251,NO,NO,NO,NO,NO
copilot/sub-pr-345,NO,NO,NO,NO,NO
copilot/sub-pr-353,NO,NO,NO,NO,NO
copilot/sub-pr-379,NO,NO,NO,NO,NO
copilot/sub-pr-384-another-one,NO,NO,NO,NO,NO
copilot/sub-pr-43,NO,NO,NO,NO,NO
copilot/sub-pr-43-again,NO,NO,NO,NO,NO
copilot/sub-pr-43-another-one,NO,NO,NO,NO,NO
copilot/sub-pr-460,NO,NO,NO,NO,NO
copilot/sub-pr-496,YES,YES,NO,NO,NO
copilot/sub-pr-503,NO,YES,NO,NO,NO
copilot/sub-pr-524,YES,YES,YES,YES,YES
copilot/sub-pr-593,YES,YES,YES,YES,YES
copilot/sub-pr-602,YES,YES,YES,YES,YES
copilot/sub-pr-602-again,YES,YES,YES,YES,YES
copilot/sub-pr-602-another-one,YES,YES,YES,YES,YES
copilot/sub-pr-602-yet-again,YES,YES,YES,YES,YES
copilot/sub-pr-80-f05b16e3-82a1-4c4e-a395-37518caeb994,NO,NO,NO,NO,NO
copilot/update-ci-workflow-for-multi-os,NO,NO,NO,NO,NO
daily-pr-review-2026-02-10-4472388519152119826,NO,NO,NO,NO,NO
daily-pr-review-2026-02-14-14414050132137760025,YES,YES,NO,NO,NO
daily-pr-review-2026-02-21-9802456407838076625,YES,YES,YES,YES,NO
daily-pr-review-2026-02-24-17585160201633769475,YES,YES,YES,YES,NO
daily-pr-review-2026-02-26-jules-4281948076072664101,YES,YES,YES,YES,NO
